"store","websites","attribute_set","type","category_ids","sku","has_options","name","url_key","country_of_manufacture","msrp_enabled","msrp_display_actual_price_type","meta_title","meta_description","image","small_image","thumbnail","custom_design","options_container","page_layout","gift_message_available","url_path","image_label","small_image_label","thumbnail_label","price","cost","weight","special_price","msrp","gia_si","description","meta_keyword","short_description","custom_layout_update","status","tax_class_id","visibility","manufacturer","enable_googlecheckout","is_recurring","news_from_date","news_to_date","special_from_date","special_to_date","custom_design_from","custom_design_to","qty","min_qty","use_config_min_qty","is_qty_decimal","backorders","use_config_backorders","min_sale_qty","use_config_min_sale_qty","max_sale_qty","use_config_max_sale_qty","is_in_stock","low_stock_date","notify_stock_qty","use_config_notify_stock_qty","manage_stock","use_config_manage_stock","stock_status_changed_auto","use_config_qty_increments","qty_increments","use_config_enable_qty_inc","enable_qty_increments","is_decimal_divided","stock_status_changed_automatically","use_config_enable_qty_increments","product_name","store_id","product_type_id","product_status_changed","product_changed_websites","mau_sac"
"admin","base","Nhẫn","simple","105,110,113","N067","0","N067","n067"," ","Use config","Use config","","","/n/0/n067-15k.jpg","/n/0/n067-15k.jpg","/n/0/n067-15k.jpg","","Block after Info Column","No layout updates","No","n067.html","","","","15000.0000","","0.0000","","","10000.0000","<h1><font color=""blue"">NHẪN</font></h1>
<h1><font size=""7"" color=""red"">N067</font></h1>
</br>
<img src=""http://www.thoitrangella.com/media/catalog/product/n/0/n067-15k.jpg"" width=""400"" height=""auto"" />
","","Nhẫn N067","","Hiệu lực","None","Catalog, Search","","Đồng ý","No","2013-07-14 00:00:00","2013-08-11 00:00:00","","","","","1.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","N067","0","simple","","",""
"admin","base","Nhẫn","simple","105,110,113","N068","0","N068","n068"," ","Use config","Use config","","","/n/0/n068-15k.jpg","/n/0/n068-15k.jpg","/n/0/n068-15k.jpg","","Block after Info Column","No layout updates","No","n068.html","","","","15000.0000","","0.0000","","","10000.0000","<h1><font color=""blue"">NHẪN</font></h1>
<h1><font size=""7"" color=""red"">N068</font></h1>
</br>
<img src=""http://www.thoitrangella.com/media/catalog/product/n/0/n068-15k.jpg"" width=""400"" height=""auto"" />
","","Nhẫn N068","","Hiệu lực","None","Catalog, Search","","Đồng ý","No","2013-07-14 00:00:00","2013-08-11 00:00:00","","","","","1.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","N068","0","simple","","",""
"admin","base","Nhẫn","simple","105,110,113","N069","0","N069","n069"," ","Use config","Use config","","","/n/0/n069-27k.jpg","/n/0/n069-27k.jpg","/n/0/n069-27k.jpg","","Block after Info Column","No layout updates","No","n069.html","","","","27000.0000","","0.0000","","","18000.0000","<h1><font color=""blue"">NHẪN</font></h1>
<h1><font size=""7"" color=""red"">N069</font></h1>
</br>
<img src=""http://www.thoitrangella.com/media/catalog/product/n/0/n069-27k.jpg"" width=""400"" height=""auto"" />
","","Nhẫn N069","","Hiệu lực","None","Catalog, Search","","Đồng ý","No","2013-07-14 00:00:00","2013-08-11 00:00:00","","","","","1.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","N069","0","simple","","",""
"admin","base","Nhẫn","simple","105,110,113","N070","0","N070","n070"," ","Use config","Use config","","","/n/0/n070-24k.jpg","/n/0/n070-24k.jpg","/n/0/n070-24k.jpg","","Block after Info Column","No layout updates","No","n070.html","","","","24000.0000","","0.0000","","","16000.0000","<h1><font color=""blue"">NHẪN</font></h1>
<h1><font size=""7"" color=""red"">N070</font></h1>
</br>
<img src=""http://www.thoitrangella.com/media/catalog/product/n/0/n070-24k.jpg"" width=""400"" height=""auto"" />
","","Nhẫn N070","","Hiệu lực","None","Catalog, Search","","Đồng ý","No","2013-07-14 00:00:00","2013-08-11 00:00:00","","","","","1.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","N070","0","simple","","",""
"admin","base","Nhẫn","simple","105,110,113","N071","0","N071","n071"," ","Use config","Use config","","","/n/0/n071-15k.jpg","/n/0/n071-15k.jpg","/n/0/n071-15k.jpg","","Block after Info Column","No layout updates","No","n071.html","","","","15000.0000","","0.0000","","","10000.0000","<h1><font color=""blue"">NHẪN</font></h1>
<h1><font size=""7"" color=""red"">N071</font></h1>
</br>
<img src=""http://www.thoitrangella.com/media/catalog/product/n/0/n071-15k.jpg"" width=""400"" height=""auto"" />
","","Nhẫn N071","","Hiệu lực","None","Catalog, Search","","Đồng ý","No","2013-07-14 00:00:00","2013-08-11 00:00:00","","","","","1.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","N071","0","simple","","",""
"admin","base","Nhẫn","simple","105,110,113","N072","0","N072","n072"," ","Use config","Use config","","","/n/0/n072-21k.jpg","/n/0/n072-21k.jpg","/n/0/n072-21k.jpg","","Block after Info Column","No layout updates","No","n072.html","","","","21000.0000","","0.0000","","","14000.0000","<h1><font color=""blue"">NHẪN</font></h1>
<h1><font size=""7"" color=""red"">N072</font></h1>
</br>
<img src=""http://www.thoitrangella.com/media/catalog/product/n/0/n072-21k.jpg"" width=""400"" height=""auto"" />
","","Nhẫn N072","","Hiệu lực","None","Catalog, Search","","Đồng ý","No","2013-07-14 00:00:00","2013-08-11 00:00:00","","","","","1.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","N072","0","simple","","",""
"admin","base","Nhẫn","simple","105,110,113","N073","0","N073","n073"," ","Use config","Use config","","","/n/0/n073-24k.jpg","/n/0/n073-24k.jpg","/n/0/n073-24k.jpg","","Block after Info Column","No layout updates","No","n073.html","","","","24000.0000","","0.0000","","","16000.0000","<h1><font color=""blue"">NHẪN</font></h1>
<h1><font size=""7"" color=""red"">N073</font></h1>
</br>
<img src=""http://www.thoitrangella.com/media/catalog/product/n/0/n073-24k.jpg"" width=""400"" height=""auto"" />
","","Nhẫn N073","","Hiệu lực","None","Catalog, Search","","Đồng ý","No","2013-07-14 00:00:00","2013-08-11 00:00:00","","","","","1.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","N073","0","simple","","",""
"admin","base","Nhẫn","simple","105,110,113","N074","0","N074","n074"," ","Use config","Use config","","","/n/0/n074-24k.jpg","/n/0/n074-24k.jpg","/n/0/n074-24k.jpg","","Block after Info Column","No layout updates","No","n074.html","","","","24000.0000","","0.0000","","","16000.0000","<h1><font color=""blue"">NHẪN</font></h1>
<h1><font size=""7"" color=""red"">N074</font></h1>
</br>
<img src=""http://www.thoitrangella.com/media/catalog/product/n/0/n074-24k.jpg"" width=""400"" height=""auto"" />
","","Nhẫn N074","","Hiệu lực","None","Catalog, Search","","Đồng ý","No","2013-07-14 00:00:00","2013-08-11 00:00:00","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","2013-10-19 08:02:17","","1","0","1","1","1","0.0000","1","0","0","1","1","N074","0","simple","","",""
"admin","base","Nhẫn","simple","105,110,113","N075","0","N075","n075"," ","Use config","Use config","","","/n/0/n075-15k.jpg","/n/0/n075-15k.jpg","/n/0/n075-15k.jpg","","Block after Info Column","No layout updates","No","n075.html","","","","15000.0000","","0.0000","","","10000.0000","<h1><font color=""blue"">NHẪN</font></h1>
<h1><font size=""7"" color=""red"">N075</font></h1>
</br>
<img src=""http://www.thoitrangella.com/media/catalog/product/n/0/n075-15k.jpg"" width=""400"" height=""auto"" />
","","Nhẫn N075","","Hiệu lực","None","Catalog, Search","","Đồng ý","No","2013-07-14 00:00:00","2013-08-11 00:00:00","","","","","1.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","N075","0","simple","","",""
"admin","base","Nhẫn","simple","105,110,113","N076","0","N076","n076"," ","Use config","Use config","","","/n/0/n076-24k.jpg","/n/0/n076-24k.jpg","/n/0/n076-24k.jpg","","Block after Info Column","No layout updates","No","n076.html","","","","24000.0000","","0.0000","","","16000.0000","<h1><font color=""blue"">NHẪN</font></h1>
<h1><font size=""7"" color=""red"">N076</font></h1>
</br>
<img src=""http://www.thoitrangella.com/media/catalog/product/n/0/n076-24k.jpg"" width=""400"" height=""auto"" />
","","Nhẫn N076","","Hiệu lực","None","Catalog, Search","","Đồng ý","No","2013-07-14 00:00:00","2013-08-11 00:00:00","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","2013-10-14 14:57:31","","1","0","1","1","1","0.0000","1","0","0","1","1","N076","0","simple","","",""
