"store","websites","attribute_set","type","category_ids","sku","has_options","name","meta_title","meta_description","image","small_image","url_key","thumbnail","gift_message_available","url_path","custom_design","options_container","image_label","small_image_label","thumbnail_label","page_layout","country_of_manufacture","msrp_enabled","msrp_display_actual_price_type","weight","price","cost","special_price","msrp","gia_si","description","meta_keyword","short_description","custom_layout_update","status","tax_class_id","visibility","manufacturer","enable_googlecheckout","is_recurring","news_from_date","news_to_date","special_from_date","special_to_date","custom_design_from","custom_design_to","qty","min_qty","use_config_min_qty","is_qty_decimal","backorders","use_config_backorders","min_sale_qty","use_config_min_sale_qty","max_sale_qty","use_config_max_sale_qty","is_in_stock","low_stock_date","notify_stock_qty","use_config_notify_stock_qty","manage_stock","use_config_manage_stock","stock_status_changed_auto","use_config_qty_increments","qty_increments","use_config_enable_qty_inc","enable_qty_increments","is_decimal_divided","stock_status_changed_automatically","use_config_enable_qty_increments","product_name","store_id","product_type_id","product_status_changed","product_changed_websites","mau_sac"
"admin","base","Dây lưng","simple","113,115,117","DL012","0","DL012","","","/d/l/dl012-35k.jpg","/d/l/dl012-35k.jpg","dl012","/d/l/dl012-35k.jpg","No","dl012.html","","Block after Info Column","","","","No layout updates"," ","Use config","Use config","0.0000","35000.0000","","","","0.0000","<h1><font color=""blue"">DÂY LƯNG</font></h1>
<h1><font size=""7"" color=""red"">DL012</font></h1>
</br>
<img src=""http://www.thoitrangella.com/media/catalog/product/d/l/dl012-35k.jpg"" width=""400"" height=""auto"" />
</br>	
<img src=""http://www.thoitrangella.com/media/catalog/product/d/l/dl012a.jpg"" width=""400"" height=""auto"" />
","","Dây lưng DL012","","Hiệu lực","None","Catalog, Search","","Đồng ý","No","2013-08-01 00:00:00","2013-08-31 00:00:00","","","","","1.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","DL012","0","simple","","","Đỏ, đen, nâu"
"admin","base","Dây lưng","simple","113,115,117","DL013","0","DL013","","","/d/l/dl013-35k.jpg","/d/l/dl013-35k.jpg","dl013","/d/l/dl013-35k.jpg","No","dl013.html","","Block after Info Column","","","","No layout updates"," ","Use config","Use config","0.0000","35000.0000","","","","0.0000","<h1><font color=""blue"">DÂY LƯNG</font></h1>
<h1><font size=""7"" color=""red"">DL013</font></h1>
</br>
<img src=""http://www.thoitrangella.com/media/catalog/product/d/l/dl013-35k.jpg"" width=""400"" height=""auto"" />
</br>	
<img src=""http://www.thoitrangella.com/media/catalog/product/d/l/dl013a.jpg"" width=""400"" height=""auto"" />
","","Dây lưng DL013","","Hiệu lực","None","Catalog, Search","","Đồng ý","No","2013-08-01 00:00:00","2013-08-31 00:00:00","","","","","1.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","DL013","0","simple","","",""
"admin","base","Phụ Kiện Tóc","simple","113,114,115","KT023","0","KT023","","","/k/t/kt023-10k.jpg","/k/t/kt023-10k.jpg","kt023","/k/t/kt023-10k.jpg","No","kt023.html","","Block after Info Column","","","","No layout updates"," ","Use config","Use config","0.0000","10000.0000","","","","5000.0000","<h1><font color=""blue"">PHỤ KIỆN TÓC</font></h1>
<h1><font size=""7"" color=""red"">KT023</font></h1>
</br>
<img src=""http://www.thoitrangella.com/media/catalog/product/k/t/kt023-10k.jpg"" width=""400"" height=""auto"" />
</br>	
<img src=""http://www.thoitrangella.com/media/catalog/product/k/t/kt023a.jpg"" width=""400"" height=""auto"" />
","","PHỤ KIỆN TÓC KT023","","Hiệu lực","None","Catalog, Search","","Đồng ý","No","2013-08-01 00:00:00","2013-08-31 00:00:00","","","","","1.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","KT023","0","simple","","",""
"admin","base","Phụ Kiện Tóc","simple","113,114,115","KT024","0","KT024","","","/k/t/kt024-20k.jpg","/k/t/kt024-20k.jpg","kt024","/k/t/kt024-20k.jpg","No","kt024.html","","Block after Info Column","","","","No layout updates"," ","Use config","Use config","0.0000","20000.0000","","","","15000.0000","<h1><font color=""blue"">PHỤ KIỆN TÓC</font></h1>
<h1><font size=""7"" color=""red"">KT024</font></h1>
</br>
<img src=""http://www.thoitrangella.com/media/catalog/product/k/t/kt024-20k.jpg"" width=""400"" height=""auto"" />
</br>	
<img src=""http://www.thoitrangella.com/media/catalog/product/k/t/kt024a.jpg"" width=""400"" height=""auto"" />
","","PHỤ KIỆN TÓC KT024","","Hiệu lực","None","Catalog, Search","","Đồng ý","No","2013-08-01 00:00:00","2013-08-31 00:00:00","","","","","1.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","KT024","0","simple","","",""
"admin","base","Phụ Kiện Tóc","simple","113,114,115","KT025","0","KT025","","","/k/t/kt025-20k.jpg","/k/t/kt025-20k.jpg","kt025","/k/t/kt025-20k.jpg","No","kt025.html","","Block after Info Column","","","","No layout updates"," ","Use config","Use config","0.0000","20000.0000","","","","15000.0000","<h1><font color=""blue"">PHỤ KIỆN TÓC</font></h1>
<h1><font size=""7"" color=""red"">KT025</font></h1>
</br>
<img src=""http://www.thoitrangella.com/media/catalog/product/k/t/kt025-20k.jpg"" width=""400"" height=""auto"" />
</br>	
<img src=""http://www.thoitrangella.com/media/catalog/product/k/t/kt025a.jpg"" width=""400"" height=""auto"" />
","","PHỤ KIỆN TÓC KT025","","Hiệu lực","None","Catalog, Search","","Đồng ý","No","2013-08-01 00:00:00","2013-08-31 00:00:00","","","","","1.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","KT025","0","simple","","",""
"admin","base","Phụ Kiện Tóc","simple","113,114,115","KT026","0","KT026","","","/k/t/kt026-21k.jpg","/k/t/kt026-21k.jpg","kt026","/k/t/kt026-21k.jpg","No","kt026.html","","Block after Info Column","","","","No layout updates"," ","Use config","Use config","0.0000","21000.0000","","","","15000.0000","<h1><font color=""blue"">PHỤ KIỆN TÓC</font></h1>
<h1><font size=""7"" color=""red"">KT026</font></h1>
</br>
<img src=""http://www.thoitrangella.com/media/catalog/product/k/t/kt026a.jpg"" width=""400"" height=""auto"" />
","","PHỤ KIỆN TÓC KT026","","Hiệu lực","None","Catalog, Search","","Đồng ý","No","2013-08-01 00:00:00","2013-08-31 00:00:00","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","2013-08-09 09:16:05","","1","0","1","1","1","0.0000","1","0","0","1","1","KT026","0","simple","","",""
"admin","base","Phụ Kiện Tóc","simple","113,114,115","KT027","0","KT027","","","/k/t/kt027-19k.jpg","/k/t/kt027-19k.jpg","kt027","/k/t/kt027-19k.jpg","No","kt027.html","","Block after Info Column","","","","No layout updates"," ","Use config","Use config","0.0000","19000.0000","","","","14000.0000","<h1><font color=""blue"">PHỤ KIỆN TÓC</font></h1>
<h1><font size=""7"" color=""red"">KT027</font></h1>
</br>
<img src=""http://www.thoitrangella.com/media/catalog/product/k/t/kt027-19k.jpg"" width=""400"" height=""auto"" />
</br>	
<img src=""http://www.thoitrangella.com/media/catalog/product/k/t/kt027a.jpg"" width=""400"" height=""auto"" />
","","PHỤ KIỆN TÓC KT027","","Hiệu lực","None","Catalog, Search","","Đồng ý","No","2013-08-01 00:00:00","2013-08-31 00:00:00","","","","","1.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","KT027","0","simple","","",""
"admin","base","Phụ Kiện Tóc","simple","113,114,115","KT028","0","KT028","","","/k/t/kt028-24k.jpg","/k/t/kt028-24k.jpg","kt028","/k/t/kt028-24k.jpg","No","kt028.html","","Block after Info Column","","","","No layout updates"," ","Use config","Use config","0.0000","24000.0000","","","","16000.0000","<h1><font color=""blue"">PHỤ KIỆN TÓC</font></h1>
<h1><font size=""7"" color=""red"">KT028</font></h1>
</br>
<img src=""http://www.thoitrangella.com/media/catalog/product/k/t/kt028a.jpg"" width=""400"" height=""auto"" />
</br>	
<img src=""http://www.thoitrangella.com/media/catalog/product/k/t/kt028-24k.jpg"" width=""400"" height=""auto"" />
","","PHỤ KIỆN TÓC KT028","","Hiệu lực","None","Catalog, Search","","Đồng ý","No","2013-08-01 00:00:00","2013-08-31 00:00:00","","","","","2.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","KT028","0","simple","","",""
"admin","base","Phụ Kiện Tóc","simple","113,114,115","KT029","0","KT029","","","/k/t/kt029-25k.jpg","/k/t/kt029-25k.jpg","kt029","/k/t/kt029-25k.jpg","No","kt029.html","","Block after Info Column","","","","No layout updates"," ","Use config","Use config","0.0000","25000.0000","","","","18000.0000","<h1><font color=""blue"">PHỤ KIỆN TÓC</font></h1>
<h1><font size=""7"" color=""red"">KT029</font></h1>
</br>
<img src=""http://www.thoitrangella.com/media/catalog/product/k/t/kt029-25k.jpg"" width=""400"" height=""auto"" />
</br>	
<img src=""http://www.thoitrangella.com/media/catalog/product/k/t/kt029a.jpg"" width=""400"" height=""auto"" />
","","PHỤ KIỆN TÓC KT029","","Hiệu lực","None","Catalog, Search","","Đồng ý","No","2013-08-01 00:00:00","2013-08-31 00:00:00","","","","","1.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","KT029","0","simple","","",""
"admin","base","Phụ Kiện Tóc","simple","113,114,115","KT030","0","KT030","","","/k/t/kt030-30k.jpg","/k/t/kt030-30k.jpg","kt030","/k/t/kt030-30k.jpg","No","kt030.html","","Block after Info Column","","","","No layout updates"," ","Use config","Use config","0.0000","30000.0000","","","","20000.0000","<h1><font color=""blue"">PHỤ KIỆN TÓC</font></h1>
<h1><font size=""7"" color=""red"">KT030</font></h1>
</br>
<img src=""http://www.thoitrangella.com/media/catalog/product/k/t/kt030-30k.jpg"" width=""400"" height=""auto"" />
</br>	
<img src=""http://www.thoitrangella.com/media/catalog/product/k/t/kt030a.jpg"" width=""400"" height=""auto"" />
","","PHỤ KIỆN TÓC KT030","","Hiệu lực","None","Catalog, Search","","Đồng ý","No","2013-08-01 00:00:00","2013-08-31 00:00:00","","","","","1.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","KT030","0","simple","","",""
